stress;grid;0.01349430;0.01509294;0.01659010;0.01810129
stress;aws5;0.00809375;0.00809375;0.00809375;0.00809375
stress;aws10;0.01619485;0.01619485;0.01619485;0.01619485
stress;aws15;0.02428309;0.02428309;0.02428309;0.02428309
stream;grid;0.0003545166;0.0020059759;0.0017252827;0.0016435142
stream;aws5;0.0080937500;0.0080937500;0.0080937500;0.0080937500
stream;aws10;0.0161948529;0.0161948529;0.0161948529;0.0161948529
stream;aws15;0.0242830882;0.0242830882;	0.0242830882;0.0242830882
kubernetes;grid;0.000001938411;0.0000009714920;0.0000006477087;0.0000004889687
kubernetes;aws5;0.00500000;0.00500000;0.00500000;0.00500000
kubernetes;aws10;0.01000000;0.01000000;0.01000000;0.01000000
kubernetes;aws15;0.01500000;0.01500000;0.01500000;0.01500000
fio;grid;0.013932894;0.013809061;0.014038003;0.014110296
fio;aws5;0.003703706;0.003703706;0.003703706;0.003703706
fio;aws10;0.007407412;0.007407412;0.007407412;0.007407412
fio;aws15;0.011111118;0.011111118;0.014107500;0.015423674
iperf;grid;0.004511194;0.009764452;0.088556029;0.114688380
iperf;aws5;0.008272059;0.016544118;0.024816176;0.033088235
iperf;aws10;0.016544118;0.033088235;0.049632353;0.066176471
iperf;aws15;0.024816176;0.049632353;0.074448529;0.099264706
